,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2022-07-02,17:00,Liga MX,Matchweek 1,Sat,Away,W,3.0,1.0,Necaxa,49.0,,Claudio Baeza,4-2-3-1,Luis Santander,Match Report,,6,3,,1,1,2022,Toluca
1,2022-07-10,12:00,Liga MX,Matchweek 2,Sun,Home,W,3.0,2.0,Atlas,49.0,,Claudio Baeza,4-3-2-1,Fernando Hernández,Match Report,,14,9,,0,0,2022,Toluca
2,2022-07-13,21:00,Liga MX,Matchweek 3,Wed,Away,L,0.0,1.0,América,39.0,36090.0,Claudio Baeza,4-1-4-1,Adonai Escobedo,Match Report,,10,2,,0,0,2022,Toluca
3,2022-07-23,17:00,Liga MX,Matchweek 4,Sat,Home,W,2.0,1.0,Santos,67.0,,Leonardo Fernández,4-1-4-1,Diego Montaño,Match Report,,20,9,,1,1,2022,Toluca
4,2022-07-26,21:05,Liga MX,Matchweek 5,Tue,Away,W,1.0,0.0,León,60.0,,Leonardo Fernández,4-1-4-1,Guillermo Pacheco,Match Report,,15,6,,0,0,2022,Toluca
5,2022-07-29,20:05,Liga MX,Matchweek 6,Fri,Away,D,1.0,1.0,FC Juárez,57.0,,Claudio Baeza,4-2-3-1,Fernando Guerrero,Match Report,,7,3,,0,0,2022,Toluca
6,2022-08-02,20:00,Liga MX,Matchweek 16,Tue,Home,D,1.0,1.0,Puebla,62.0,,Claudio Baeza,4-5-1,Victor Caceres,Match Report,,20,7,,0,0,2022,Toluca
7,2022-08-07,12:00,Liga MX,Matchweek 7,Sun,Home,W,3.0,1.0,Tijuana,62.0,,Claudio Baeza,4-2-3-1,César Arturo Ramos,Match Report,,29,11,,1,1,2022,Toluca
8,2022-08-14,17:00,Liga MX,Matchweek 8,Sun,Away,W,3.0,2.0,Cruz Azul,66.0,,Claudio Baeza,4-2-3-1,Fernando Hernández,Match Report,,16,10,,1,1,2022,Toluca
9,2022-08-17,19:00,Liga MX,Matchweek 9,Wed,Home,D,1.0,1.0,Monterrey,64.0,,Claudio Baeza,4-2-3-1,Daniel Quintero,Match Report,,5,2,,0,0,2022,Toluca
0,2021-07-25,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Away,W,2,1,Tijuana,48.0,4333.0,Guido Pizarro,4-3-3,Óscar Macias,Match Report,,5,2,,0,0,2022,UANL
1,2021-08-01,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,1,3,Toluca,42.0,8540.0,Guido Pizarro,4-3-3,Victor Caceres,Match Report,,19,5,,0,0,2022,UANL
2,2021-08-07,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,1,1,Santos,51.0,14350.0,Nahuel Guzmán,4-4-2,Marco Ortíz,Match Report,,11,2,,0,0,2022,UANL
3,2021-08-13,19:00,Liga MX,Apertura 2021 Regular Season,Fri,Away,D,1,1,Puebla,55.0,7654.0,Nahuel Guzmán,4-1-4-1,Jorge Rojas,Match Report,,13,4,,0,0,2022,UANL
4,2021-08-17,19:00,Liga MX,Apertura 2021 Regular Season,Tue,Home,W,3,0,Querétaro,33.0,9264.0,Nahuel Guzmán,3-1-4-2,Diego Montaño,Match Report,,6,3,,0,0,2022,UANL
5,2021-08-20,20:00,Liga MX,Apertura 2021 Regular Season,Fri,Away,W,3,0,Mazatlán,59.0,7733.0,Nahuel Guzmán,3-5-2,Eduardo Basulto,Match Report,,16,5,,1,1,2022,UANL
6,2021-08-28,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,1,1,Atlas,54.0,11225.0,Nahuel Guzmán,5-3-2,Luis Santander,Match Report,,14,4,,1,1,2022,UANL
7,2021-09-11,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,2,2,León,54.0,12962.0,Nahuel Guzmán,3-5-2,Jorge Pérez,Match Report,,9,4,,0,0,2022,UANL
8,2021-09-19,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,0,2,Monterrey,63.0,26755.0,Guido Pizarro,3-5-2,Fernando Hernández,Match Report,,19,6,,0,0,2022,UANL
9,2021-09-25,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,0,0,UNAM,64.0,15581.0,Guido Pizarro,4-4-2,Óscar Macias,Match Report,,17,3,,0,0,2022,UANL
10,2021-09-29,17:00,Liga MX,Apertura 2021 Regular Season,Wed,Away,W,3,0,Atlético,56.0,9545.0,Guido Pizarro,3-5-2,Jorge Rojas,Match Report,,13,6,,0,0,2022,UANL
11,2021-10-03,19:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,D,0,0,Necaxa,53.0,15797.0,Guido Pizarro,5-3-2,Marco Ortíz,Match Report,,19,8,,0,0,2022,UANL
12,2021-10-16,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,1,1,Cruz Azul,41.0,20894.0,Guido Pizarro,5-3-2,Jorge Pérez,Match Report,,10,5,,0,0,2022,UANL
13,2021-10-20,21:00,Liga MX,Apertura 2021 Regular Season,Wed,Home,W,3,0,Pachuca,48.0,24153.0,Guido Pizarro,5-3-2,Luis Santander,Match Report,,12,5,,0,0,2022,UANL
14,2021-10-23,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,L,0,1,América,61.0,32675.0,Guido Pizarro,5-3-2,Fernando Guerrero,Match Report,,13,5,,0,0,2022,UANL
15,2021-10-30,21:10,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,1,Guadalajara,46.0,25523.0,Guido Pizarro,5-3-2,Diego Montaño,Match Report,,10,3,,0,0,2022,UANL
16,2021-11-06,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,3,0,FC Juárez,60.0,26243.0,Guido Pizarro,5-3-2,Óscar Macias,Match Report,,14,4,,0,0,2022,UANL
17,2021-11-25,21:05,Liga MX,Quarter-finals,Thu,Away,L,1,2,Santos,64.0,15310.0,André-Pierre Gignac,5-3-2,Óscar Macias,Match Report,Leg 1 of 2,18,6,,0,0,2022,UANL
18,2021-11-28,18:00,Liga MX,Quarter-finals,Sun,Home,W,1,0,Santos,61.0,37438.0,Guido Pizarro,5-3-2,Luis Santander,Match Report,Leg 2 of 2; UANL won,13,2,,0,0,2022,UANL
19,2021-12-01,21:00,Liga MX,Semi-finals,Wed,Home,W,2,1,León,62.0,37785.0,André-Pierre Gignac,5-3-2,Marco Ortíz,Match Report,Leg 1 of 2,30,10,,0,0,2022,UANL
20,2021-12-04,21:00,Liga MX,Semi-finals,Sat,Away,L,1,2,León,37.0,23570.0,André-Pierre Gignac,3-4-3,César Arturo Ramos,Match Report,Leg 2 of 2; León won,8,2,,0,0,2022,UANL
21,2022-01-12,20:06,Liga MX,Clausura 2022 Regular Season,Wed,Away,D,1,1,Santos,57.0,9377.0,Guido Pizarro,4-1-4-1,Adonai Escobedo,Match Report,,20,4,,0,0,2022,UANL
22,2022-01-15,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,0,2,Puebla,69.0,14829.0,Guido Pizarro,4-4-2,Luis Santander,Match Report,,21,9,,0,1,2022,UANL
23,2022-01-23,12:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,W,2,1,UNAM,61.0,18805.0,Guido Pizarro,3-5-2,Oscar Mejia,Match Report,,15,4,,1,1,2022,UANL
24,2022-02-06,20:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,4,3,Mazatlán,62.0,10497.0,Guido Pizarro,5-4-1,Fernando Hernández,Match Report,,20,8,,1,1,2022,UANL
25,2022-02-12,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,3,1,Guadalajara,43.0,22564.0,Guido Pizarro,5-4-1,Jorge Pérez,Match Report,,17,6,,0,0,2022,UANL
26,2022-02-19,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,2,1,Atlético,63.0,20850.0,Guido Pizarro,4-5-1,Marco Ortíz,Match Report,,17,4,,0,0,2022,UANL
27,2022-02-25,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,W,3,2,FC Juárez,58.0,10113.0,Guido Pizarro,5-4-1,Daniel Quintero,Match Report,,13,6,,0,0,2022,UANL
28,2022-03-02,19:00,Liga MX,Clausura 2022 Regular Season,Wed,Home,D,2,2,Cruz Azul,50.0,36978.0,Guido Pizarro,5-4-1,Victor Caceres,Match Report,,19,8,,0,0,2022,UANL
29,2022-03-12,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,3,0,León,47.0,16242.0,Guido Pizarro,3-4-3,Fernando Guerrero,Match Report,,12,8,,0,0,2022,UANL
30,2022-03-19,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,2,0,Monterrey,59.0,41473.0,Guido Pizarro,4-1-4-1,Jorge Pérez,Match Report,,9,6,,0,0,2022,UANL
31,2022-04-03,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,2,0,Tijuana,58.0,37691.0,Guido Pizarro,4-1-4-1,Óscar Macias,Match Report,,17,6,,0,0,2022,UANL
32,2022-04-07,19:00,Liga MX,Clausura 2022 Regular Season,Thu,Away,L,1,2,Pachuca,55.0,10664.0,Guido Pizarro,4-1-4-1,Ismael Lopez,Match Report,,6,2,,0,0,2022,UANL
33,2022-04-10,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,W,1,0,Querétaro,42.0,,Guido Pizarro,4-4-2,Diego Montaño,Match Report,,10,2,,0,0,2022,UANL
34,2022-04-16,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,3,0,Toluca,57.0,36658.0,Guido Pizarro,4-3-3,Marco Ortíz,Match Report,,27,10,,0,0,2022,UANL
35,2022-04-19,19:00,Liga MX,Clausura 2022 Regular Season,Tue,Away,L,0,2,Necaxa,61.0,,Guido Pizarro,3-4-3,Jesus Lopez,Match Report,,16,2,,0,0,2022,UANL
36,2022-04-23,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,0,2,América,63.0,38810.0,Guido Pizarro,4-3-3,Fernando Hernández,Match Report,,5,3,,0,0,2022,UANL
37,2022-04-30,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,D,1,1,Atlas,54.0,21968.0,Hugo Ayala,4-2-3-1,Oscar Mejia,Match Report,,12,2,,1,1,2022,UANL
38,2022-05-12,19:00,Liga MX,Quarter-finals,Thu,Away,W,1,0,Cruz Azul,46.0,28974.0,Guido Pizarro,3-4-3,Fernando Hernández,Match Report,Leg 1 of 2,10,5,,0,0,2022,UANL
39,2022-05-15,20:05,Liga MX,Quarter-finals,Sun,Home,L,0,1,Cruz Azul,41.0,40161.0,Guido Pizarro,3-4-3,César Arturo Ramos,Match Report,Leg 2 of 2; UANL won,21,6,,0,0,2022,UANL
40,2022-05-18,21:00,Liga MX,Semi-finals,Wed,Away,L,0,3,Atlas,54.0,20684.0,Guido Pizarro,3-4-3,Marco Ortíz,Match Report,Leg 1 of 2,11,2,,0,0,2022,UANL
41,2022-05-21,20:00,Liga MX,Semi-finals,Sat,Home,W,4,2,Atlas,61.0,41635.0,Guido Pizarro,4-4-2,César Arturo Ramos,Match Report,Leg 2 of 2; Atlas won,21,7,,2,2,2022,UANL
0,2021-07-22,21:00,Liga MX,Apertura 2021 Regular Season,Thu,Away,D,0,0,Querétaro,57.0,10221.0,Bruno Valdez,4-1-4-1,Marco Ortíz,Match Report,,16,2,,0,0,2022,America
1,2021-07-31,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,1,Necaxa,62.0,9590.0,Emanuel Aguilera,4-1-4-1,Fernando Hernández,Match Report,,15,6,,0,0,2022,America
2,2021-08-07,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,0,Puebla,46.0,8567.0,Emanuel Aguilera,4-2-3-1,César Arturo Ramos,Match Report,,10,5,,1,1,2022,America
3,2021-08-15,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,W,1,0,Atlas,44.0,13637.0,Guillermo Ochoa,4-2-3-1,Jorge Pérez,Match Report,,10,4,,0,1,2022,America
4,2021-08-18,20:00,Liga MX,Apertura 2021 Regular Season,Wed,Away,W,2,1,FC Juárez,48.0,13992.0,Guillermo Ochoa,4-2-3-1,Luis Santander,Match Report,,16,6,,0,0,2022,America
5,2021-08-22,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,W,2,0,Tijuana,63.0,,Guillermo Ochoa,4-4-2,Jorge Rojas,Match Report,,13,4,,1,1,2022,America
6,2021-08-28,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,1,1,León,34.0,12719.0,Guillermo Ochoa,4-1-4-1,Marco Ortíz,Match Report,,6,2,,1,1,2022,America
7,2021-09-11,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,0,Mazatlán,59.0,14637.0,Guillermo Ochoa,4-2-3-1,Diego Montaño,Match Report,,21,9,,0,0,2022,America
8,2021-09-18,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,L,1,3,Toluca,56.0,10297.0,Guillermo Ochoa,4-4-2,Jorge Rojas,Match Report,,17,7,,0,0,2022,America
9,2021-09-25,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,0,0,Guadalajara,56.0,42862.0,Guillermo Ochoa,4-2-3-1,César Arturo Ramos,Match Report,,17,7,,0,0,2022,America
10,2021-09-28,21:05,Liga MX,Apertura 2021 Regular Season,Tue,Away,D,1,1,Pachuca,54.0,7454.0,Guillermo Ochoa,4-2-3-1,Fernando Guerrero,Match Report,,19,4,,0,0,2022,America
11,2021-10-03,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,W,2,0,UNAM,55.0,27571.0,Guillermo Ochoa,4-2-3-1,Jorge Pérez,Match Report,,16,7,,0,0,2022,America
12,2021-10-16,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,W,1,0,Atlético,57.0,16373.0,Guillermo Ochoa,4-2-3-1,Diego Montaño,Match Report,,11,4,,0,0,2022,America
13,2021-10-19,19:05,Liga MX,Apertura 2021 Regular Season,Tue,Home,W,2,1,Santos,47.0,16918.0,Guillermo Ochoa,4-2-3-1,Marco Ortíz,Match Report,,10,5,,0,0,2022,America
14,2021-10-23,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,1,0,UANL,39.0,32675.0,Guillermo Ochoa,4-3-3,Fernando Guerrero,Match Report,,6,1,,0,0,2022,America
15,2021-10-31,17:05,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,1,2,Cruz Azul,46.0,31257.0,Guillermo Ochoa,4-4-2,Luis Santander,Match Report,,6,2,,0,0,2022,America
16,2021-11-06,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,0,0,Monterrey,54.0,25654.0,Guillermo Ochoa,4-4-2,Diego Montaño,Match Report,,13,3,,0,0,2022,America
17,2021-11-24,19:00,Liga MX,Quarter-finals,Wed,Away,D,0,0,UNAM,44.0,42784.0,Guillermo Ochoa,4-5-1,Jorge Pérez,Match Report,Leg 1 of 2,3,1,,0,0,2022,America
18,2021-11-27,19:00,Liga MX,Quarter-finals,Sat,Home,L,1,3,UNAM,56.0,51302.0,Guillermo Ochoa,4-4-2,Marco Ortíz,Match Report,Leg 2 of 2; UNAM won,16,3,,1,1,2022,America
19,2022-01-07,21:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,D,1,1,Puebla,32.0,35040.0,Guillermo Ochoa,4-2-3-1,Oscar Mejia,Match Report,,8,3,,0,0,2022,America
20,2022-01-22,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,0,2,Atlas,60.0,20825.0,Guillermo Ochoa,4-2-3-1,Marco Ortíz,Match Report,,15,4,,0,0,2022,America
21,2022-02-05,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,2,3,Atlético,69.0,16968.0,Guillermo Ochoa,4-3-3,Adonai Escobedo,Match Report,,13,3,,0,0,2022,America
22,2022-02-12,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,3,2,Santos,40.0,18774.0,Guillermo Ochoa,3-4-3,Luis Santander,Match Report,,11,3,,1,1,2022,America
23,2022-02-16,18:00,Liga MX,Clausura 2022 Regular Season,Wed,Away,L,1,2,Mazatlán,59.0,13934.0,Guillermo Ochoa,3-5-2,Jorge Pérez,Match Report,,10,2,,0,0,2022,America
24,2022-02-20,16:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,L,1,3,Pachuca,48.0,27858.0,Guillermo Ochoa,4-3-1-2,Diego Montaño,Match Report,,18,5,,0,0,2022,America
25,2022-02-26,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,D,0,0,UNAM,52.0,42650.0,Guillermo Ochoa,4-3-1-2,Fernando Guerrero,Match Report,,8,2,,0,0,2022,America
26,2022-03-01,21:00,Liga MX,Clausura 2022 Regular Season,Tue,Home,D,1,1,Querétaro,42.0,17414.0,Guillermo Ochoa,4-2-3-1,Fernando Hernández,Match Report,,12,4,,0,0,2022,America
27,2022-03-05,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,1,2,Monterrey,52.0,40327.0,Guillermo Ochoa,4-2-3-1,Erick Miranda,Match Report,,12,3,,0,0,2022,America
28,2022-03-12,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,D,0,0,Guadalajara,37.0,33047.0,Guillermo Ochoa,4-4-2,Jorge Pérez,Match Report,,7,2,,0,0,2022,America
29,2022-03-20,17:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,3,0,Toluca,52.0,34571.0,Guillermo Ochoa,4-2-3-1,Oscar Mejia,Match Report,,15,10,,0,0,2022,America
30,2022-04-02,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,1,0,Necaxa,45.0,19485.0,Guillermo Ochoa,4-2-3-1,Daniel Quintero,Match Report,,14,4,,0,0,2022,America
31,2022-04-09,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,3,0,FC Juárez,58.0,19757.0,Guillermo Ochoa,4-3-3,César Arturo Ramos,Match Report,,16,6,,0,0,2022,America
32,2022-04-15,19:06,Liga MX,Clausura 2022 Regular Season,Fri,Away,W,3,1,Tijuana,50.0,27333.0,Guillermo Ochoa,4-2-3-1,Luis Santander,Match Report,,16,8,,1,1,2022,America
33,2022-04-20,21:00,Liga MX,Clausura 2022 Regular Season,Wed,Home,W,2,0,León,62.0,36210.0,Guillermo Ochoa,4-2-3-1,Diego Montaño,Match Report,,19,7,,0,0,2022,America
34,2022-04-23,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,2,0,UANL,37.0,38810.0,Guillermo Ochoa,4-2-3-1,Fernando Hernández,Match Report,,15,8,,0,0,2022,America
35,2022-04-30,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,D,0,0,Cruz Azul,65.0,52630.0,Guillermo Ochoa,4-2-3-1,Marco Ortíz,Match Report,,16,4,,0,0,2022,America
36,2022-05-11,21:05,Liga MX,Quarter-finals,Wed,Away,D,1,1,Puebla,49.0,43921.0,Guillermo Ochoa,4-4-2,Luis Santander,Match Report,Leg 1 of 2,12,4,,0,0,2022,America
37,2022-05-14,18:00,Liga MX,Quarter-finals,Sat,Home,W,3,2,Puebla,43.0,51186.0,Guillermo Ochoa,4-2-3-1,Fernando Guerrero,Match Report,Leg 2 of 2; América won,16,6,,1,1,2022,America
38,2022-05-19,20:00,Liga MX,Semi-finals,Thu,Home,D,1,1,Pachuca,47.0,62633.0,Guillermo Ochoa,4-2-3-1,Jorge Pérez,Match Report,Leg 1 of 2,7,3,,0,0,2022,America
39,2022-05-22,20:06,Liga MX,Semi-finals,Sun,Away,L,0,3,Pachuca,59.0,19310.0,Guillermo Ochoa,4-2-3-1,Fernando Hernández,Match Report,Leg 2 of 2; Pachuca won,17,5,,0,0,2022,America
0,2021-07-25,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,D,0,0,UNAM,57.0,,Aldo Rocha,4-2-3-1,Luis Santander,Match Report,,18,5,,0,0,2022,Atlas
1,2021-07-31,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,0,FC Juárez,59.0,7859.0,Aldo Rocha,4-2-3-1,Oscar Mejia,Match Report,,17,5,,0,0,2022,Atlas
2,2021-08-09,21:00,Liga MX,Apertura 2021 Regular Season,Mon,Away,W,1,0,Pachuca,36.0,,Aldo Rocha,4-2-3-1,Guillermo Pacheco Larios,Match Report,,12,5,,0,0,2022,Atlas
3,2021-08-15,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,L,0,1,América,56.0,13637.0,Aldo Rocha,4-2-3-1,Jorge Pérez,Match Report,,7,2,,0,0,2022,Atlas
4,2021-08-18,19:00,Liga MX,Apertura 2021 Regular Season,Wed,Away,D,1,1,Santos,42.0,11998.0,Aldo Rocha,4-2-3-1,Fernando Guerrero,Match Report,,11,2,,0,0,2022,Atlas
5,2021-08-21,17:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,0,0,Toluca,58.0,7239.0,Aldo Rocha,4-1-4-1,Marco Ortíz,Match Report,,13,3,,0,1,2022,Atlas
6,2021-08-28,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,1,1,UANL,46.0,11225.0,Aldo Rocha,5-3-2,Luis Santander,Match Report,,11,4,,0,0,2022,Atlas
7,2021-09-11,17:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,1,Monterrey,55.0,5568.0,Aldo Rocha,3-4-3,Óscar Macias,Match Report,,14,4,,0,0,2022,Atlas
8,2021-09-17,21:00,Liga MX,Apertura 2021 Regular Season,Fri,Away,W,3,0,Necaxa,40.0,11020.0,Aldo Rocha,3-4-3,Fernando Guerrero,Match Report,,9,4,,0,0,2022,Atlas
9,2021-09-25,17:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,0,León,29.0,8832.0,Aldo Rocha,5-3-2,Jorge Rojas,Match Report,,10,6,,0,0,2022,Atlas
10,2021-09-28,21:00,Liga MX,Apertura 2021 Regular Season,Tue,Home,L,0,1,Puebla,64.0,9902.0,Aldo Rocha,4-3-3,Fernando Hernández,Match Report,,18,4,,0,1,2022,Atlas
11,2021-10-02,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,W,1,0,Guadalajara,69.0,21709.0,Aldo Rocha,4-4-2,Fernando Guerrero,Match Report,,16,3,,1,1,2022,Atlas
12,2021-10-15,20:00,Liga MX,Apertura 2021 Regular Season,Fri,Away,L,0,1,Mazatlán,59.0,8120.0,Aldo Rocha,4-4-2,Mario Vargas,Match Report,,19,4,,0,0,2022,Atlas
13,2021-10-19,21:05,Liga MX,Apertura 2021 Regular Season,Tue,Home,D,0,0,Cruz Azul,49.0,9604.0,Aldo Rocha,4-4-2,Jorge Rojas,Match Report,,7,3,,0,0,2022,Atlas
14,2021-10-24,19:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,W,6,2,Atlético,52.0,9309.0,Aldo Rocha,5-3-2,César Arturo Ramos,Match Report,,24,8,,0,0,2022,Atlas
15,2021-10-28,19:00,Liga MX,Apertura 2021 Regular Season,Thu,Home,L,0,2,Tijuana,65.0,10299.0,Aldo Rocha,4-3-3,Óscar Macias,Match Report,,15,2,,0,0,2022,Atlas
16,2021-11-04,21:00,Liga MX,Apertura 2021 Regular Season,Thu,Home,W,2,0,Querétaro,50.0,10421.0,Aldo Rocha,5-3-2,Guillermo Pacheco Larios,Match Report,,19,6,,0,0,2022,Atlas
17,2021-11-24,21:05,Liga MX,Quarter-finals,Wed,Away,D,0,0,Monterrey,44.0,27105.0,Aldo Rocha,5-3-2,Jorge Rojas,Match Report,Leg 1 of 2,6,3,,0,0,2022,Atlas
18,2021-11-27,21:05,Liga MX,Quarter-finals,Sat,Home,D,1,1,Monterrey,40.0,21210.0,Aldo Rocha,5-3-2,César Arturo Ramos,Match Report,Leg 2 of 2; Monterrey won,8,1,,1,1,2022,Atlas
19,2021-12-02,21:00,Liga MX,Semi-finals,Thu,Away,W,1,0,UNAM,45.0,48976.0,Aldo Rocha,5-3-2,Jorge Rojas,Match Report,Leg 1 of 2,9,4,,0,0,2022,Atlas
20,2021-12-05,19:00,Liga MX,Semi-finals,Sun,Home,L,0,1,UNAM,40.0,42962.0,Aldo Rocha,3-5-2,Jorge Pérez,Match Report,Leg 2 of 2; Atlas won,18,5,,0,0,2022,Atlas
21,2021-12-09,21:00,Liga MX,Finals,Thu,Away,L,2,3,León,31.0,23513.0,Aldo Rocha,3-5-2,Luis Santander,Match Report,Leg 1 of 2,8,3,,0,0,2022,Atlas
22,2021-12-12,20:15,Liga MX,Finals,Sun,Home,W,1 (4),0 (3),León,52.0,47548.0,Aldo Rocha,3-5-2,Marco Ortíz,Match Report,Leg 2 of 2; Atlas won; Atlas won on penalty kicks following extra time,20,9,,0,0,2022,Atlas
23,2022-01-15,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,1,0,Atlético,48.0,13353.0,Aldo Rocha,3-5-2,Brian Gonzalez,Match Report,,13,3,,0,0,2022,Atlas
24,2022-01-19,21:00,Liga MX,Clausura 2022 Regular Season,Wed,Away,D,1,1,León,41.0,8997.0,Aldo Rocha,3-4-3,Fernando Hernández,Match Report,,8,4,,0,0,2022,Atlas
25,2022-01-22,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,2,0,América,40.0,20825.0,Aldo Rocha,5-3-2,Marco Ortíz,Match Report,,4,3,,0,0,2022,Atlas
26,2022-02-06,18:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,2,1,Santos,54.0,17346.0,Aldo Rocha,5-3-2,Jorge Pérez,Match Report,,9,3,,0,0,2022,Atlas
27,2022-02-11,21:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,D,1,1,Puebla,51.0,23170.0,Aldo Rocha,5-3-2,Victor Caceres,Match Report,,13,3,,0,1,2022,Atlas
28,2022-02-20,20:05,Liga MX,Clausura 2022 Regular Season,Sun,Home,D,0,0,UNAM,58.0,20436.0,Aldo Rocha,5-3-2,Daniel Quintero,Match Report,,9,3,,0,0,2022,Atlas
29,2022-02-25,19:06,Liga MX,Clausura 2022 Regular Season,Fri,Away,L,0,2,Tijuana,52.0,14333.0,Aldo Rocha,5-3-2,Jorge Pérez,Match Report,,8,0,,0,0,2022,Atlas
30,2022-03-02,19:00,Liga MX,Clausura 2022 Regular Season,Wed,Home,L,0,1,Pachuca,43.0,14421.0,Aldo Rocha,5-3-2,Brian Gonzalez,Match Report,,13,1,,0,0,2022,Atlas
31,2022-03-05,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,3,0,Querétaro,52.0,,Aldo Rocha,5-3-2,Fernando Guerrero,Match Report,Match awarded to Atlas,7,1,,0,0,2022,Atlas
32,2022-03-11,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,W,2,1,FC Juárez,51.0,9002.0,Aldo Rocha,3-4-3,Erick Miranda,Match Report,,17,4,,0,0,2022,Atlas
33,2022-03-20,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,D,1,1,Guadalajara,44.0,19017.0,Aldo Rocha,5-3-2,César Arturo Ramos,Match Report,,15,2,,0,0,2022,Atlas
34,2022-04-02,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,1,Cruz Azul,65.0,21644.0,Hugo Nervo,5-3-2,Luis Santander,Match Report,,13,2,,0,0,2022,Atlas
35,2022-04-07,21:00,Liga MX,Clausura 2022 Regular Season,Thu,Home,W,2,1,Necaxa,49.0,12588.0,Aldo Rocha,5-3-2,Jorge Pérez,Match Report,,21,8,,0,0,2022,Atlas
36,2022-04-14,21:00,Liga MX,Clausura 2022 Regular Season,Thu,Home,L,1,2,Mazatlán,54.0,18316.0,Hugo Nervo,3-5-2,Ismael Lopez,Match Report,,14,3,,1,1,2022,Atlas
